SYMBOL|SERIES|OPEN|HIGH|LOW|CLOSE|LAST|PREVCLOSE|TOTTRDQTY|TOTTRDVAL|TOTALTRADES
INDIANB|EQ|150.00|150|145.55|149|149.05|153.15|3306119|489834027.9|22969
INDIANCARD|BE|270.00|279.95|269|269|269|281.2|1296|349968.75|28
INDIANHUME|EQ|215.65|217.75|202|205.3|205|220|98305|20775262.45|5799
INDIGO|EQ|2170.00|2228.5|2082.75|2092.3|2095.5|2264.95|1288158|2766009591|60891
INDIGOPNTS|EQ|1930.00|1931.5|1885|1898|1894.9|1933.65|21482|40962436.15|4657
INDIGRID|IV|146.95|146.95|145.16|145.78|145.95|146.5|128319|18711406.23|2114
INDIGRID|NB|1020.01|1028|1020.01|1028|1028|1020|106|108928.05|3
INDIGRID|NJ|1098.00|1098|1096|1097.48|1096|1098|126|138296|4
INDLMETER|BE|16.05|16.45|15.3|15.5|15.4|16.05|15256|241159.1|100
INDNIPPON|EQ|465.00|472|446.1|450.2|448.5|480.6|30192|13956966.8|2437
INDOCO|EQ|359.60|365.45|355.3|362.55|362.3|367.6|96900|35061401.7|6519
INDORAMA|EQ|71.85|72.45|68|69|69.65|73.3|861871|60516212.75|6771
INDOSOLAR|BZ|5.35|5.35|5.35|5.35|5.35|5.6|8441|45159.35|15
INDOSTAR|EQ|252.20|254.45|241.25|243.7|243|260.65|114828|28545399.1|3566
INDOTECH|EQ|250.00|253|244.75|244.75|244.75|257.6|19968|4910191.55|414
INDOTHAI|BE|290.95|290.95|284.05|284.05|284.05|298.95|3473|989351|106
INDOWIND|BE|20.95|20.95|20.95|20.95|20.95|22.05|70555|1478127.25|754
INDRAMEDCO|EQ|74.00|75.15|72|72.25|72.05|74.9|263984|19294616.45|3162
INDSWFTLAB|EQ|76.70|77.4|71.55|72.7|72.3|76.7|108715|8041876.7|2166
INDSWFTLTD|BE|13.30|14.45|13.15|13.15|13.15|13.8|21395|284363.15|112
INDTERRAIN|EQ|53.75|53.95|47.95|49.45|50|54.2|211900|10948418.8|2941
INDUSINDBK|EQ|959.20|964.8|937.2|941.6|937.3|982.4|3652419|3468659525|91029
INDUSTOWER|EQ|247.75|254.45|245.05|247.2|247.3|252.6|3481353|866861783.9|31215
INEOSSTYRO|EQ|1125.60|1180|1125|1145.15|1140.6|1153.65|28367|32754112.3|3001
INFIBEAM|EQ|41.15|42|40.55|40.95|40.9|42.65|2499161|103180346.6|8216
INFOBEAN|EQ|535.55|541.05|511|518.75|517|552.9|33348|17589476.35|2588
INFOMEDIA|BE|4.60|4.6|4.6|4.6|4.6|4.8|2990|13754|10
INFRABEES|EQ|515.00|517.01|501|502.37|501.3|517.29|6631|3354496.93|517
INFY|EQ|1690.00|1718.55|1678.25|1682.2|1684|1721.35|7459637|12670785136|280769
INGERRAND|EQ|1369.90|1380|1250|1352.85|1380|1383.3|22710|30256896.05|4729
INNOVANA|SM|418.20|418.2|418.2|418.2|418.2|398.3|4000|1672800|4
INNOVATIVE|SM|7.05|7.4|7.05|7.05|7.05|7.4|177000|1252200|49
INOXLEISUR|EQ|395.00|404.9|391.1|392.75|391.1|402.15|330162|131173014.5|10221
INOXWIND|EQ|126.00|126.45|115.1|117.55|119.95|128.3|733997|87920660.05|10860
INSECTICID|EQ|675.00|685|640.1|648.5|641.05|681.8|10299|6833462.6|1815
INSPIRISYS|BE|77.20|77.2|77.2|77.2|77.2|81.25|153|11811.6|4
